repository,version,commit,java_files,packages,package_edges,cyclic_packages,max_fan_in,max_fan_out,unstable_dependencies,hub_like_packages,large_packages,median_package_size
camel,after,35cf84bd3a0784ee34e3d146545f95c74567ccd3,144,16,152,5,15,16,0,2,4,8.0
ant,before,ee9453f4f459494b616f35d57b58b73773e534dd,44,3,18,0,3,11,0,0,0,22.0
ant,after,edb71783adeffc29a56df203f97b5ac0e4566a5d,43,3,17,0,3,10,0,0,0,21.0
ant,before,c697c4d2d093adc00d508f6f6f91797d3c9ffe3e,38,2,16,0,2,10,0,0,0,33.0
ant,after,65d02e393d8709dd9fd6f5d48b502b72507bbb86,38,2,17,0,2,10,0,0,0,33.0
ant,before,bf94e2fb091644d9c249322d9574ab6bb1e6a3d8,48,3,20,0,3,10,0,0,0,35.0
ant,after,3c26912e56e06ac64c392444cb19e3587f1bbb11,49,3,20,0,3,10,0,0,0,36.0
ant,before,ab202c98abdb86255e80d286acee3b8c6960cab2,50,3,20,0,3,10,0,0,0,37.0
ant,after,ae16bb711b331f6c8a20ee1298cf171de43266f7,51,3,20,0,3,10,0,0,0,38.0
ant,before,7f93c6c464471c53f323dd190182b1cd3bd9fb2e,51,3,20,0,3,10,0,0,0,40.0
ant,after,653124c46b538acb4d6caf265851fa991578d42d,51,3,20,0,3,10,0,0,0,44.0
ant,before,d5bfb5609dde48b93877185c1f61067e009e8499,62,5,31,2,5,9,0,0,0,32.0
ant,after,1ba5087df429abe38dd22fe5c9ddbc343280f0ae,66,5,31,2,5,9,0,0,0,38.0
ant,before,b8678d977409facd43522a5816cbb5e866dcab81,66,5,31,2,5,9,0,0,0,38.0
ant,after,948ce9bca757a323b0e07ce25a10a76f759898ba,66,5,31,2,5,9,0,0,0,38.0
ant,before,d977d4b58f8e6e323060aeb695e45749822187d4,68,5,31,2,5,9,0,0,0,39.0
ant,after,b417973d391382a96e26e6c50751b9b24f85b239,69,5,31,2,5,9,0,0,0,39.0
ant,before,d5313cd9aeb9e62923cf784c46598937160aba2e,69,5,31,2,5,9,0,0,0,39.0
ant,after,38c2a2a22283450dab6afcf3d3ec094c67dc1e4e,69,5,31,2,5,9,0,0,0,39.0
lucene,before,9bd3152b06cbef4d429860eb200c64090ce28a68,108,11,47,4,11,10,0,0,5,6.0
lucene,after,58bcd780a9a37d81dfcb6f4f17acccaddc03a438,109,11,47,4,11,10,0,0,5,6.0
lucene,before,c05b8e334b1fa224a9daf3473396ce0687ea630d,112,11,51,7,11,10,0,0,5,7.0
lucene,after,89a554ffab239c0118ccd454d76cdf714d793911,112,11,51,7,11,10,0,0,5,7.0
lucene,before,b1ab12b556dc5952c90a8d79914c7cb51067acfe,114,11,52,8,11,10,0,0,5,7.0
lucene,after,2ae22a31e362c283a9b1a58621bd51512c1d5741,115,11,52,8,11,10,0,0,5,7.0
lucene,before,d0473acefc066148991310b39e27c38091860334,115,11,52,8,11,10,0,0,5,7.0
lucene,after,e120b8bd512967bb0c683f64d45546f5c617b548,115,12,63,9,12,11,0,0,4,7.0
